sector_clean,deal_year,total_funding_usd,prev_year_funding,yoy_growth_pct
360-Degree View Creating Platform,2015,1500000.0,,
3D Printer Manufacturer,2015,3000000.0,,
AI,2015,2288610000.0,,
AI,2018,2500000.0,2288610000.0,-99.89
AI,2019,40080000.0,2500000.0,1503.2
AI,,630000.0,40080000.0,-98.43
Accounting,2019,5000000.0,,
Activity Based Social Network,2015,1500000.0,,
Advertising & Marketing Community Networking Platform,2015,1000000.0,,
"Advertising, Marketing",2019,6000000.0,,
Aerospace,2019,50000000.0,,
Affordable Hotel Booking Online,2015,5000000.0,,
AgriTech,2015,1619517.34,,
AgriTech,2018,500000.0,1619517.34,-69.13
AgriTech,2019,2739034.68,500000.0,447.81
Algorithmic Match Making Platform,2015,1500000.0,,
Alternate Mobile Monetization Platform,2015,5000000.0,,
Anonymous Bulletin Board App,2015,1500000.0,,
Api Workflow Platform,2015,1000000.0,,
App Analytics Platform,2015,500000.0,,
App Based Bus Pooling Services,2015,20000000.0,,
App Based Fitness Coaching,2015,1500000.0,,
App Security Testing Platform,2015,500000.0,,
Architectural Design & Consulting,2015,500000.0,,
Artist / Designer Marketplace,2015,1500000.0,,
Asset Financing Platform,2015,1100000.0,,
Auto,2016,3000000.0,,
Auto Insurance Online Platform,2015,500000.0,,
Auto Rickshaw Based Services,2015,5000000.0,,
Automated Storage & Warehousing Solution,2015,30000000.0,,
Automation,2018,300000000.0,,
Automobile,2018,3000000.0,,
Automobile,2019,161000000.0,3000000.0,5266.67
Automotive,2019,37000000.0,,
Automotive Services Platform,2015,1500000.0,,
Autorickshaw Aggregator & Booking Platform,2015,10000000.0,,
B2B,2018,2000000.0,,
B2B,2019,585000000.0,2000000.0,29150.0
B2B Marketing,2019,26000000.0,,
B2B Marketplace For Industrial Goods,2015,1500000.0,,
B2B Merchandize Platform,2015,303000.0,,
B2B Mobile Auction Marketplace,2015,450000.0,,
B2B Platform,2018,225000000.0,,
B2C Messaging App,2015,3000000.0,,
Beauty & Lifestyle Mobile Marketplace,2015,2000000.0,,
Beauty & Lifestyle Platform,2015,1500000.0,,
Beauty & Wellness Mobile App,2015,1500000.0,,
Beauty & Wellness Services Marketplace,2015,1500000.0,,
Beauty And Wellness Marketplace,2015,1000000.0,,
Beauty And Wellness Platform,2015,3000000.0,,
Beauty Services Mobile Marketplace,2015,1500000.0,,
Bespoke Merchandize Marketplace,2015,250000.0,,
Bfsi,2016,1500000.0,,
Big Data & Analytics Platform,2015,43000000.0,,
Big Data & Analytics Services,2015,35000000.0,,
Big Data & Predictive Analysis Platform,2015,1500000.0,,
Big Data Analytics Platform,2015,1500000.0,,
Big Data Management Platform,2015,5000000.0,,
Bike Rental Platform,2015,790000.0,,
"Bike, Appliances Renting Marketplace",2015,1500000.0,,
Brand Licensing Startup,2015,1500000.0,,
Branded Budget Hotel Marketplace,2015,300000.0,,
Budget Accommodation Aggregator,2015,3000000.0,,
Budget Accommodation Platform,2015,1000000.0,,
Budget Hotel Accommodation,2015,100000000.0,,
Budget Hotel Accommodation Brand,2015,100000000.0,,
Budget Hotels Aggregator,2015,500000.0,,
Bus Aggregation And Rental Mobile App,2015,750000.0,,
Business And It Consulting,2015,63000000.0,,
Business Intelligence & Analytics,2015,2400000.0,,
Business It Intelligence Services,2015,1500000.0,,
Business Messaging App,2015,16000000.0,,
Cab Aggregator,2015,400000000.0,,
Cab Booking App Platform,2015,30000000.0,,
Cab Rental Mobile App,2015,450000000.0,,
Cab Search Comparison & Booking Platform,2015,200000.0,,
Cab Sharing Service Mobile App,2015,100000.0,,
Career Community For Women,2015,770000.0,,
Career Development,2015,250000.0,,
Casual Dating App,2015,1500000.0,,
Character Merchandize Sales Platform,2015,540000.0,,
Chat Based Personal Assistant App,2015,1500000.0,,
Citizens Engagement Platform,2015,1500000.0,,
Clinical Genomics Provider,2015,20000000.0,,
Cloud Based Collaboration Platform,2015,100000.0,,
Cloud Based Hotel Sales Platform,2015,1500000.0,,
Cloud-Based Hotel Booking Platform,2015,2000000.0,,
Clud Based Learning Platform,2015,1500000.0,,
Community Driven News/Views Platform,2015,600000.0,,
Competitive Exam Learning Platform,2015,2000000.0,,
Compliance,2019,145000.0,,
Consumer Goods,2019,1000000.0,,
Consumer Interne,2016,1500000.0,,
Consumer Internet,2016,2152775000.0,,
Consumer Internet,2017,2700576000.0,2152775000.0,25.45
Consumer Internet,2018,1746483245.0,2700576000.0,-35.33
Consumer Internet,,6250000.0,1746483245.0,-99.64
Consumer Lending Marketplace,2015,1500000.0,,
Consumer Portal,2017,120000.0,,
Content Discovery & Reward Points Platform,2015,1500000.0,,
Conversational Commerce Mobile App,2015,2500000.0,,
Corporate Wellness App,2015,1000000.0,,
Coupon Aggregator Platform,2015,20000.0,,
Coupons And Cashback Aggregator App,2015,125000.0,,
Credit Card Fraud Protection Solutions,2015,7500000.0,,
Credit Management Services,2015,2500000.0,,
Cricket Management Mobile Game,2015,250000.0,,
Crm / Analytics Platform,2015,1000000.0,,
Cross-Channel Crm Platform,2015,4000000.0,,
Cross-Device Retargeting Platform,2015,1200000.0,,
Crowd Funding Platform,2015,1400000.0,,
Crowdsourced Delivery Platform,2015,1500000.0,,
Curated Freelancer Marketplace,2015,1500000.0,,
Custom Furniture Marketplace,2015,395000.0,,
Custom Merchandize Platform,2015,1000000.0,,
Customer Engagement Platform,2015,1250000.0,,
Customer Service,2019,45000000.0,,
Customer Service Platform,2019,51000000.0,,
Data Analytics Platform,2015,4200000.0,,
Data Driven Publishing Platform,2015,3300000.0,,
Data Driven Recruitment Recommendation,2015,5000000.0,,
Data Science & Ux Design Learning Platform,2015,1700000.0,,
Deep Learning Cloud Algorithms,2015,1000000.0,,
Designer Merchandize Marketplace,2015,1500000.0,,
Developer Portfolio Showcase Platform,2015,70000.0,,
Diagnostic Labs Aggregator Platform,2015,150000.0,,
Digital & Physical Publishing Platform,2015,2250000.0,,
Digital / Mobile Wallet,2015,25165000.0,,
Digital Analytics Platform,2015,500000.0,,
"Digital Coupons, Deal & Cashback Aggregator App",2015,1500000.0,,
Digital Intelligent Learning Platform,2015,250000.0,,
Digital Marketing Automation Solution,2015,1500000.0,,
Digital Marketing Services,2015,140000.0,,
Digital Signal Processing Platform,2015,1000000.0,,
Doctor Appointment Booking App,2015,90000000.0,,
Doctor Consultancy Mobile App,2015,1500000.0,,
Doctors Network Mobile App,2015,1500000.0,,
Document Digitization Platform,2015,230000.0,,
Domestic Help Aggregation Platform,2015,150000.0,,
E-Commerce,2015,2018064000.0,,
E-Commerce,2016,1186096608.0,2018064000.0,-41.23
E-Commerce,2017,6024904000.0,1186096608.0,407.96
E-Commerce,2018,168740089.0,6024904000.0,-97.2
E-Commerce,2019,1172556135.54,168740089.0,594.89
E-Commerce,2020,18358860.0,1172556135.54,-98.43
Early Cancer Detection Solutions,2015,3000000.0,,
Easy Business Loans Platform,2015,1500000.0,,
Ecommece,2017,1000000.0,,
EdTech,2015,70718000.0,,
EdTech,2016,91315000.0,70718000.0,29.13
EdTech,2017,8200000.0,91315000.0,-91.02
EdTech,2018,9450000.0,8200000.0,15.24
EdTech,2019,359447425.0,9450000.0,3703.68
EdTech,2020,200000000.0,359447425.0,-44.36
EdTech,,2000000.0,200000000.0,-99.0
Efficient Energy Management Platform,2015,16600000.0,,
Elearning Platform,2015,1500000.0,,
Electric Bike Manufacturers,2015,1200000.0,,
Electric Scooter Manufacturer,2015,24000000.0,,
Electronic Goods Recycling Service,2015,1500000.0,,
Employee Onboarding & Orientation Platform,2015,400000.0,,
End-To-End Lending Platform,2015,8000000.0,,
Energy,2019,26000000.0,,
Energy & Environment Online Marketplace,2015,1500000.0,,
Energy Saving Solutions Provider,2015,1500000.0,,
Engineering Innovations,2015,1500000.0,,
Engineering Services Company,2015,20000000.0,,
Enterprise Communication Platform,2015,1500000.0,,
Enterprise Marketing Automation Platform,2015,500000.0,,
Ethnic Beverages Manufacturer,2015,30000000.0,,
Event Ticketing Platform,2015,490000.0,,
Event Venue Booking Platform,2015,1500000.0,,
Exam Preparation Platform,2015,220000.0,,
Express Local Delivery Platform,2015,1500000.0,,
Extra Curricular Activities Marketplace App,2015,1500000.0,,
Fashion,2015,39600020.0,,
Fashion,2018,1800000.0,39600020.0,-95.45
Fashion,2020,1800000.0,1800000.0,0.0
Fiinance,2018,2800000.0,,
FinTech,2015,234950000.0,,
FinTech,2018,3400000.0,234950000.0,-98.55
FinTech,2019,1221211265.0,3400000.0,35817.98
FinTech,2020,3000000.0,1221211265.0,-99.75
Finance,2016,37940000.0,,
Finance,2017,555310000.0,37940000.0,1363.65
Finance,2018,1105488000.0,555310000.0,99.08
Finance,2019,303900000.0,1105488000.0,-72.51
Fitness Marketplace,2015,1000000.0,,
Fitness Tracking Management Solutions,2015,13400000.0,,
Flat Rental Mobile App,2015,2500000.0,,
Fmcg,2016,780000.0,,
FoodTech,2015,185972000.0,,
FoodTech,2016,30636000.0,185972000.0,-83.53
FoodTech,2017,22125000.0,30636000.0,-27.78
FoodTech,2018,315350195.0,22125000.0,1325.31
FoodTech,2019,35840000.0,315350195.0,-88.63
Furniture And Appliances Rental Platform,2015,1500000.0,,
Gaming,2018,500000.0,,
Gaming,2019,50000000.0,500000.0,9900.0
Gesture Based Mobile Development,2015,7700000.0,,
Gourmet Meals Delivery,2015,1500000.0,,
Government Test Preparation Platform,2015,400000.0,,
Grey Collar Job Board,2015,10000000.0,,
Grocery Delivery Platform,2015,1000000.0,,
Gym & Fitness Studios Subscription Platform,2015,100000.0,,
Gym Discovery Platform,2015,1500000.0,,
Hasbro Toy Manufacturer,2015,2000000.0,,
HealthTech,2015,298275000.0,,
HealthTech,2016,78400000.0,298275000.0,-73.72
HealthTech,2017,128043000.0,78400000.0,63.32
HealthTech,2018,258910000.0,128043000.0,102.21
HealthTech,2019,522117075.0,258910000.0,101.66
Hiring Analytics Platform,2015,500000.0,,
